step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
336,1776324209.502198,sumo,1079.0,1117.6,118.0,14.883,38.59999999999991
337,1776324211.512627,sumo,1202.0,1241.8,124.0,13.459,39.799999999999955
338,1776324213.530189,sumo,1332.0,1373.2,131.0,14.239,41.200000000000045
339,1776324215.5402195,sumo,1467.0,1509.8,139.0,15.04,42.799999999999955
340,1776324217.5422294,sumo,1610.0,1654.8,149.0,14.423,44.799999999999955
341,1776324219.5477514,sumo,1758.0,1804.0,155.0,14.935,46.0
342,1776324221.5552485,sumo,1912.0,1958.0,155.0,16.234,46.0
343,1776324223.5755398,sumo,2066.0,2112.2,156.0,16.531,46.19999999999982
344,1776324225.5826514,sumo,2221.0,2267.2,156.0,16.72,46.19999999999982
345,1776324227.595466,sumo,2376.0,2422.0,155.0,16.351,46.0
346,1776324229.6013026,sumo,2533.0,2579.4,157.0,16.537,46.40000000000009
347,1776324231.609951,sumo,2693.0,2740.2,161.0,16.258,47.19999999999982
348,1776324233.6256924,sumo,2858.0,2906.0,165.0,17.241,48.0
349,1776324235.637027,sumo,3023.0,3071.4,167.0,16.765,48.40000000000009
350,1776324237.6505802,sumo,3189.0,3237.2,166.0,16.376,48.19999999999982
351,1776324239.6638203,sumo,3353.0,3401.0,165.0,15.887,48.0
352,1776324241.666608,sumo,3518.0,3566.0,165.0,16.428,48.0
